Team,Division,Team Name,Organization,City,State,Country
10B,Math,Exothermic Blaze,Exothermic Robotics,Redmond,Washington,United States
10C,Technology,Exothermic Creation,Exothermic Robotics,Redmond,Washington,United States
10D,Science,Exothermic Dusk,Exothermic Robotics,Redmond,Washington,United States
10N,Engineering,Exothermic Nexus,Exothermic Robotics,Redmond,Washington,United States
10T,Arts,Exothermic Titans,Exothermic Robotics,Redmond,Washington,United States
12A,Innovate,Puzzles!,The Potomac School,McLean,Virginia,United States
12H,Spirit,Happy Haystacks,The Potomac School,McLean,Virginia,United States
25K,Design,Team 25K!,25K Robotics,Markham,Ontario,Canada
39B,Research,Gogli,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39E,Opportunity,AAF,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39K,Math,Rest in Pieces,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39U,Technology,Doraemon,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39V,Science,Chewsday innit?,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39Y,Engineering,Yolt,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
56H,Arts,Cape Robotics H,Cape Elizabeth High School,Cape Elizabeth,Maine,United States
56R,Innovate,FrostByte,Cape Elizabeth High School,Cape Elizabeth,Maine,United States
58A,Spirit,Dream Rover,5D college,chatswood,,Australia
81P,Design,VEXMEN: Pandemic,Brandywine Robotics Inc.,Chester Springs,Pennsylvania,United States
81Y,Research,VEXMEN: Cypher,Brandywine Robotics Inc.,Chester Springs,Pennsylvania,United States
81Z,Opportunity,VEXMEN: Zero,Brandywine Robotics,Chester Springs,Pennsylvania,United States
85A,Math,Chassis Kickers,Mount Vernon CSD,Mount Vernon,Iowa,United States
100A,Technology,Jugglenauts,Apogee Robotics,Bunker Hill,Indiana,United States
108A,Science,Flare,Independent,Troy,Michigan,United States
119A,Engineering,Inflection,ST BERNARD SCHOOL,Uncasville,Connecticut,United States
151T,Arts,Basement Dwellers,Basement Robotics,Austin,Texas,United States
154D,Innovate,Da Capybaras,GAR-FIELD HIGH,Woodbridge,Virginia,United States
169A,Spirit,The Cavalry,THE HAVERFORD SCHOOL,Haverford,Pennsylvania,United States
183A,Design,Synobotz,Carroll Educational Robotics,Westminster,Maryland,United States
197D,Research,Daedalus,Harriton Senior High School,Rosemont,Pennsylvania,United States
210W,Opportunity,Enter Kardon,Western Mechatronics,Calgary,Alberta,Canada
210Z,Math,Eclipse,Western Mechatronics,Calgary,Alberta,Canada
228A,Technology,Team Fuego,"Gus Robotics Team, Inc.",Meriden,Connecticut,United States
229V,Science,ACE Robotics,ACE Robotics,Tavares,Florida,United States
231W,Engineering,High Voltage,DR KIRK LEWIS CAREER AND TECHNICAL HIGH SCHOOL,HOUSTON,Texas,United States
248A,Arts,RoboDawgs: Vulcan,Grandville Robotics,Grandville,Michigan,United States
248D,Innovate,RoboDawgs: Differential,Grandville Robotics,Grandville,Michigan,United States
248E,Spirit,RoboDawgs: On ICE!!!,Grandville Robotics,Grandville,Michigan,United States
254F,Design,The Cheesy Poofs,Bellarmine College Preparatory,San Jose,California,United States
255F,Research,Norristown Robotics - F,NORRISTOWN AREA HIGH SCHOOL,Norristown,Pennsylvania,United States
285X,Opportunity,DiscoBots X,Carnegie Vanguard HS,Houston,Texas,United States
285Z,Math,DiscoBots Zephyr,Carnegie Vanguard HS,Houston,Texas,United States
293X,Technology,Eon,Echo Robotics,Malvern,Pennsylvania,United States
293Z,Science,Equinox,Echo Robotics,Malvern,Pennsylvania,United States
295S,Engineering,PART S,Placer Advanced Robotics and Technology,Granite Bay,California,United States
295Y,Arts,[PART]Y,Placer Advanced Robotics and Technology,Granite Bay,California,United States
315H,Innovate,Paradigm,Paradigm,Foster City,California,United States
315K,Spirit,Paradigm,Paradigm,Redwood City,California,United States
315N,Design,Paradigm,Paradigm,Cupertino,California,United States
315S,Research,Paradigm,Paradigm,Monte Sereno,California,United States
315V,Opportunity,Paradigm,Paradigm,Saratoga,California,United States
315Y,Math,Paradigm,Paradigm,Cupertino,California,United States
319K,Technology,Kodiak,,Redding,California,United States
321A,Science,321A,NILES WEST HIGH SCHOOL,Skokie,Illinois,United States
321C,Engineering,321C,NILES WEST HIGH SCHOOL,Skokie,Illinois,United States
323N,Arts,BIONICS,Cornerstone Robotics,Greenwood,Indiana,United States
323S,Innovate,Short Circuit,Cornerstone Robotics,Indianapolis,Indiana,United States
323V,Spirit,GEARS,Cornerstone Robotics,Martinsville,Indiana,United States
330Z,Design,G1,G1,Irvine,California,United States
333G,Research,G Men,Niles North 333 Robotics,Skokie,Illinois,United States
333R,Opportunity,Los Robos,Niles North 333 Robotics,Skokie,Illinois,United States
334F,Math,Supernova Fingers Crossed,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States
334Z,Technology,Supernova ZZZZZZzzzz……,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States
338A,Science,Iterated,High Caliber Robotics,Louisville,Kentucky,United States
343X,Engineering,Chris,ST ALBANS SCHOOL,Washington,District of Columbia,United States
344R,Arts,Red Rovers,SCARBOROUGH HIGH SCHOOL,Scarborough,Maine,United States
344Z,Innovate,Zero Brain Cells,SCARBOROUGH HIGH SCHOOL,Scarborough,Maine,United States
355V,Spirit,Orange Mambas,Fox Valley Robotics,Batavia,Illinois,United States
355Y,Design,Loose Screws,Fox Valley Robotics,Batavia,Illinois,United States
359B,Research,Hawaiian Kids,Waialua High & Intermediate School,Waialua,Hawaii,United States
360X,Opportunity,Vangatriots,,Point,Texas,United States
392X,Math,SpeedZappers,SpeedZappers,San Jose,California,United States
393B,Technology,Legacy Robotics,Legacy Magnet Academy,Tustin,California,United States
400B,Science,Out of sizing,BALL HIGH SCHOOL,Galveston,Texas,United States
421H,Engineering,Indian Hill Robotics Club,INDIAN HILL HIGH SCHOOL,Cincinnati,Ohio,United States
424B,Arts,BHS Blue,BAKERSFIELD HIGH,Bakersfield,California,United States
464D,Innovate,FH Robotics D,FOREST HILLS JSHS,Sidman,Pennsylvania,United States
488A,Spirit,Tencent Dreaming Plan Robot 488A,"Shenzhen Tencent Computer System Co., Ltd.",GuangDong,Guangdong,China
502W,Design,WonTon,"SD41 Mechatronics, Burnaby",Burnaby,British Columbia,Canada
507A,Research,Mustang Robotics,Otay Ranch High School,Chula Vista,California,United States
507B,Opportunity,Mustang Robotics 507B,Otay Ranch High School,Chula Vista,California,United States
508T,Math,PiraTech's,Palm Bay Magnet HS,Melbourne,Florida,United States
515R,Technology,Revision,Logan and Ben Robotics Club,Union,Kentucky,United States
536C,Science,Life,XAVIER HIGH SCHOOL,Appleton,Wisconsin,United States
550A,Engineering,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
550C,Arts,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
550G,Innovate,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
550X,Spirit,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
603B,Design,I Don't Know,BELMONT HIGH SCHOOL,Belmont,New Hampshire,United States
604X,Research,Robo-Titan,Western Pacific Robotics Academy,Richmond,British Columbia,Canada
606X,Opportunity,VEX HEX,VEX HEX,Tucson,Arizona,United States
614A,Math,Salamander Army,Under the GUI - Kitsilano,Vancouver,British Columbia,Canada
621A,Technology,SFS Stands For Something,Marion County STEM 4-H Club,Indianapolis,Indiana,United States
621B,Science,DinoNerdz,Marion County STEM 4 H Club,Indianapolis,Indiana,United States
643A,Engineering,Go Bananas,OAK MOUNTAIN HIGH SCHOOL,Birmingham,Alabama,United States
643T,Arts,Kachow!,OAK MOUNTAIN HIGH SCHOOL,Birmingham,Alabama,United States
654A,Innovate,Omnitron,LAKE TRAVIS HIGH SCHOOL,Austin,Texas,United States
654X,Spirit,Parallax,LAKE TRAVIS HIGH SCHOOL,Austin,Texas,United States
675A,Design,Robodragons Alpha,Gwinnett School Of Mathematics- Science And Technology,Lawrenceville,Georgia,United States
719E,Research,Explosive Engineers,BENTONVILLE WEST HIGH SCHOOL,CENTERTON,Arkansas,United States
719S,Opportunity,Hort,BENTONVILLE WEST HIGH SCHOOL,CENTERTON,Arkansas,United States
719W,Math,Wired Wolverines,BENTONVILLE WEST HIGH SCHOOL,CENTERTON,Arkansas,United States
725K,Technology,Kronos,Private,South Barrington,Illinois,United States
727G,Science,Terrapin Gold,Tampa Preparatory School,Tampa,Florida,United States
729S,Engineering,Scitus,Downingtown Robotics,Chester Springs,Pennsylvania,United States
739B,Arts,Men In black,KIMBALL SECONDARY,Kimball,Minnesota,United States
742A,Innovate,PerryBoticsA,PerryBotics,Downey,California,United States
750B,Spirit,Blitz,SOUTH BRUNSWICK HIGH SCHOOL,Monmouth Junction,New Jersey,United States
765X,Design,FuryTech Xenon,HIGH TECHNOLOGY HIGH SCHOOL,Lincroft,New Jersey,United States
832A,Research,// Caution Tape West //,Caution Tape Robotics ////,Oakville,Ontario,Canada
884B,Opportunity,Space Pandas,MBX Foundation,Manhattan Beach,California,United States
920B,Math,SLO - Botics,San Luis Obispo High School,San Luis Obispo,California,United States
929N,Technology,RagingBulls,Hereford High School,Parkton,Maryland,United States
929S,Science,Hereford Zone Robotics,HEREFORD HIGH,Parkton,Maryland,United States
929V,Engineering,Hereford Zone Robotics,Hereford High School,Parkton,Maryland,United States
937X,Arts,Aurora,Private,Chandler,Arizona,United States
945V,Innovate,Low Expectations,GREEN VALLEY HIGH SCHOOL,Henderson,Nevada,United States
946R,Spirit,Rock Lobsters,Better With Butter,Erie,Colorado,United States
948J,Design,Limitless,Limitless Robotics,San Diego,California,United States
967C,Research,C.U.L8R,Russellville High School,Russellville,Arkansas,United States
967E,Opportunity,Exodus,Russellville High School,RUSSELLVILLE,Arkansas,United States
967T,Math,auToma,Russellville High School,Russellville,Arkansas,United States
986A,Technology,Lancers A,GRACE BRETHREN JR SR HIGH SCHOOL,Simi Valley,California,United States
987A,Science,High Rollers,CIMARRON MEMORIAL HIGH SCHOOL,Las Vegas,Nevada,United States
991H,Engineering,BearBots,HARPETH HALL SCHOOL,Nashville,Tennessee,United States
1002T,Arts,[ ʟᴇᴛʜᴀʟ ᴘʀᴇꜱᴇɴᴄᴇ ],Templestowe College,Templestowe Lower,,Australia
1010N,Innovate,TenTon Robotics,West Vancouver School District #45,West Vancouver,British Columbia,Canada
1023E,Spirit,Evolution,Private,Redmond,Washington,United States
1028A,Design,The Fighting Chirmachillas,Brownell Talbot College Preparatory School,Omaha,Nebraska,United States
1064X,Research,OPS - Unknown Variable,OMAHA NORTH MAGNET HIGH SCHOOL,Omaha,Nebraska,United States
1069E,Opportunity,Critical Mass,Berthoud Robotics,Berthoud,Colorado,United States
1075A,Math,Acros,Heights Robotics,Arcadia,Indiana,United States
1075C,Technology,Chaos,Heights Robotics,Arcadia,Indiana,United States
1082C,Science,Le Fishee,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
