Team,Division,Team Name,Organization,City,State,Country
13C,Science,ACME - RoadRunner,ACME Robotics,McLean,Virginia,United States
14Z,Technology,Happy Oven Mitts,Marsteller Middle School,Bristow,Virginia,United States
24Z,Engineering,Super Sonic Sparks Z,Sparks 4-H Robotics,REISTERSTOWN,Maryland,United States
38G,Math,The Association of Nerds,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
38X,Arts,Boba Bots,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
38Y,Opportunity,Wontons,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
46B,Science,R-SOF,Seton School,Manassas,Virginia,United States
46V,Technology,Venom,Seton SCHOOL,Manassas,Virginia,United States
56S,Engineering,Self Destruct System,Cape Elizabeth  Middle School,Cape Elizabeth,Maine,United States
80Y,Math,VEXMEN: Nocturne,Brandywine Robotics Inc,Chester Springs,Pennsylvania,United States
85C,Arts,Metal Manipulators,Mount Vernon CSD,Mount Vernon,Iowa,United States
88X,Opportunity,ruizhiwenfeng X,Rui Zhi Wen Feng Education Technology Co.,Beijing,Beijing,China
90U,Science,VEXMEN: Luminous,Brandywine Robotics Inc.,Chester Springs,Pennsylvania,United States
106A,Technology,Brain Deads,Excel-Robotic Lab LLC,Plano,Texas,United States
210F,Engineering,Ok I Pull Up,Western Mechatronics,Calgary,Alberta,Canada
283C,Math,Citizens of Kepler,WHITE PINE HIGH SCHOOL,Ely,Nevada,United States
293T,Arts,Solstice,Echo Robotics,Malvern,Pennsylvania,United States
315A,Opportunity,Paradigm,Paradigm,Foster City,California,United States
315B,Science,Paradigm,Paradigm,Cupertino,California,United States
315D,Technology,Paradigm,Paradigm,Saratoga,California,United States
315E,Engineering,Paradigm,Paradigm,Cupertino,California,United States
323E,Math,Sprockets,Cornerstone Robotics,Martinsville,Indiana,United States
355G,Arts,The Griffins,Fox Valley Robotics,Batavia,Illinois,United States
355W,Opportunity,Lack of Artificial Intelligence,Fox Valley Robotics,Batavia,Illinois,United States
355Z,Science,Falcons,Fox Valley Robotics,Batavia,Illinois,United States
388A,Technology,瑞卜德 388A,China Shanghai Robot Education technology co. LTD,Shanghai,Shanghai,China
393Y,Engineering,Legacy Robotics,Legacy Magnet Academy,Tustin,California,United States
400Y,Math,Out of sizing,BALL HIGH SCHOOL,galveston,Texas,United States
457A,Arts,Flying Pancakes,JENISON JUNIOR HIGH SCHOOL,Jenison,Michigan,United States
462A,Opportunity,Wolverines,HARVARD-WESTLAKE SCHOOL,Los Angeles,California,United States
462Z,Science,Wolverines,HARVARD-WESTLAKE SCHOOL,Los Angeles,California,United States
467A,Technology,Til The End,WEST MIDDLE SCHOOL,Nampa,Idaho,United States
488B,Engineering,Shanghai Robot Education technology 488B,"Shanghai Robot Education technology co.LTD, China",Shanghai,Shanghai,China
650M,Math,Maroons,Pulaski County - Northern Middle,Somerset,Kentucky,United States
652A,Arts,RoboMonkeys,652,Chula Vista,California,United States
663J,Opportunity,Flaming Chickens,CHATTANOOGA CHRISTIAN SCHOOL,Chattanooga,Tennessee,United States
663K,Science,Komodo Dragons,CHATTANOOGA CHRISTIAN SCHOOL,Chattanooga,Tennessee,United States
663T,Technology,Manual Transmission,CHATTANOOGA CHRISTIAN SCHOOL,Chattanooga,Tennessee,United States
673B,Engineering,Alpha Entity,EAST VALLEY MIDDLE SCHOOL,Nampa,Idaho,United States
691C,Math,AK-691C,AK,西安,Shaanxi,China
691E,Arts,AK-691E,AK,西安,Shaanxi,China
727B,Opportunity,Terrapin Bale,Tampa Preparatory School,Tampa,Florida,United States
739E,Science,Dynamic Energy,Kimball Secondary,KIMBALL,Minnesota,United States
792G,Technology,Thursday Frogs,JEFFREY TRAIL MIDDLE,Irvine,California,United States
792V,Engineering,Dreadnot,JEFFREY TRAIL MIDDLE,Irvine,California,United States
792X,Math,Hydra,JEFFREY TRAIL MIDDLE,Irvine,California,United States
792Y,Arts,Reroll,JEFFREY TRAIL MIDDLE,Irvine,California,United States
839Z,Opportunity,// Caution Tape ZOOM! //,Caution Tape Robotics ////,Markham,Ontario,Canada
842T,Science,Nova,NOVA Robotics,Chester Springs,Pennsylvania,United States
